"Acacia Capital Partners","acacia-capital-partners"
"Spark Ventures ","spark-ventures"
"Sunbridge Partners","sunbridge-partners"
"YEurope","yeurope"
"Velocity Venture Capital","velocity-capital"
"Panorama Capital","panorama-capital"
"Peacock Equity","peacock-equity"
"Francisco Partners","francisco-partners"
"M10 GmbH","m10-gmbh"
"Econa AG","econa-ag"
"KPG Ventures","kpg-ventures"
"JP Morgan","jp-morgan"
"Dace Ventures","dace-ventures"
"Comcast Ventures","comcast-interactive-capital"
"G-51 Capital","g-51-capital"
"Doughty Hanson Technology Ventures","doughty-hanson-technology-ventures"
"Aeneas Ventures","aeneas-ventures"
"General Catalyst Partners","general-catalyst-partners"
"Mitsui Ventures","mitsui-ventures"
"Sofinnova Ventures","sofinnova-ventures"
"Hummer Winblad Venture Partners","hummer-winblad-venture-partners"
"Harvard Angel Group","harvard-angel-group"
"Octopus","octopus-ventures"
"Adams Street Partners","adams-street-partners"
"Argo Global Capital","argo-global-capital"
"Rustic Canyon Partners","rustic-canyon-partners"
"Scale Venture Partners","scale-venture-partners"
"Steamboat Ventures","steamboat-ventures"
"Square 1 Bank","square-1-bank"
"IndoUS Venture Partners","nea-indous-ventures"
"Split Rock Partners","split-rock-partners"
"Godel Capital","godel-capital"
"Information City","information-city"
"Australian Distributed Incubator","australian-distributed-incubator"
"Biltmore Ventures","biltmore-ventures"
"Consor Capital","consor-capital"
"Kepha Partners","kepha-partners"
"Formative Ventures","formative-ventures"
"Vickers Financial Group","vickers-financial-group"
"Concept Ventures","concept-ventures"
"Milestone Venture Partners","milestone-venture-partners"
"ATEL Ventures","atel-ventures"
"Ben Franklin Technology Partners of Northeast Pennsylvania","ben-franklin-technology-partners-of-northeast-pennsylvania"
"Oxsino Venture Ltd.","oxsino-venture-ltd"
"ADS Global Partners","ads-global-partners"
"Khalda Development","khalda-development"
"The Angels' Forum","the-angels-forum"
"Band of Angels","band-of-angels"
"Southpaw Asset Management","southpaw-asset-management"
"Ascend Venture Group","ascend-venture-group"
"OpenView Venture Partners","openview-venture-partners"
"LundKenner Ventures","lundkenner-ventures"
"Boekhoorn M&A","boekhoorn-m-a"
"Indiana's 21st Century Technology Fund","indiana-s-21st-century-technology-fund"
"GrandBanks Capital","grandbanks-capital"
"XDL Capital Group","xdl-capital-group"
"Siemens Venture Capital","siemens-venture-capital"
"Ingenious Media","ingenious-media"
"Claremont Creek Ventures","claremont-creek-ventures"
"Pacifica Fund","pacifica-fund"
"Altos Ventures","altos-ventures"
"GoAmerica","goamerica"
"NeoCarta Ventures","neocarta-ventures"
"Horizon Group","horizon-group"
"Schroders Private Bank","schroders-private-bank"
"Internet Real Estate Group","internet-real-estate-group"
"Star Ventures","star-ventures"
"Sierra Ventures","sierra-ventures"
"Morgan Stanley","morgan-stanley"
"Deutsche Bank","deutsche-bank"
"Columbus Venture Capital","columbus-venture-capital"
"iNovia Capital","inovia-capital"
"DFJ Frontier","dfj-frontier"
"DFJ Gotham Ventures","dfj-gotham-ventures"
"MediaNews","medianews"
"Warburg Pincus","warburg-pincus"
"Ascent Venture Partners","ascent-venture-partners"
"Flagship Ventures","flagship-ventures"
"Woodside Fund","woodside-fund"
"Farallon Capital Management","farallon-capital-management"
"Innovative Entertainment Limited","innovative-entertainment-limited"
"Adams Capital Management","adams-capital-management"
"Western Technology Investment","western-technology-investment"
"Anthem Capital Management","anthem-capital-management"
"Osage Ventures","osage-ventures"
"Guggenheim Opportunity Fund","guggenheim-opportunity-fund"
"Israel Seed Partners","israel-seed-partners"
"Flatiron Partners","flatiron-partners"
"Cubit Investments","cubit-investments"
"Windward Ventures","windward-ventures"
"Capricorn Management","capricorn-management"
"Arcturus Capital","arcturus-capital"
"Capital One Financial Corp","capital-one-financial-corp"
"GRP Partners","grp-partners"
"Grazia Equity","grazia-equity"
"Novestra","novestra"
"Mousse Partners","mousse-partners"
"vSpring Capital","vspring-capital"
"Provo Labs","provo-labs"
"TTP Capital Advisors (Japan)","ttp-capital-advisors-japan"
"The Musser Group","the-musser-group"
"Bridgescale Partners","bridgescale-partners"
"Galleon Group","galleon-group"
"Brand Science Institute","brand-science-institute"
"Alliance of Angels","alliance-of-angels"
"CDC Group","cdc-group"
"Cascade Investment","cascade-investment"
"T. Rowe Price","t-rowe-price"
"TDF Fund (Telecommunications Development Fund)","tdf-fund-telecommunications-development"
"Amidzad Partners","amidzad-partners"
"Thomvest Ventures","thomvest-ventures"
"BBVA","bbva"
"YL Ventures","yl-ventures"
"Milestone Merchant Partners","milestone-merchant-partners"
"OCA Ventures","oca-ventures-2"
"CID Group","cid-group"
"SIG","sig"
"Banexi Ventures","banexi-ventures"
"Provenance Ventures","provenance-ventures"
"Gabriel Venture Partners","gabriel-venture-partners"
"Meakem Becker Venture Capital","meakem-becker-venture-capital"
"Borealis Ventures","borealis-ventures"
"Rho Canada","rho-canada"
"WMG Investments","wmg-investments"
"Origin Ventures","origin-ventures"
"Scottish Equity Partners","scottish-equity-partners"
"Madison Parker Capital","madison-parker-capital"
"Verdexus","verdexus"
"Laurence Capital","laurence-capital"
"Chrys Capital","chrys-capital"
"Brand Equity Ventures","brand-equity-ventures"
"Lightspeed Gemini Internet Lab","lightspeed-gemini-internet-lab"
"Crosspoint Venture Partners","crosspoint-venture-partners"
"Kingdon Capital","kingdon-capital"
"Vista Ventures","vista-ventures"
"Bain Capital Ventures","bain-capital-ventures"
"Allegis Capital","allegis-capital"
"CMEA Ventures","cmea-ventures"
"NTEC","ntec"
"Sofinnova Partners","sofinnova-partners"
"AXA Private Equity","axa-private-equity"
"GET Valorisation","get-valorisation"
"Roda Group","roda-group"
"21Ventures","21ventures"
"Frontier Communications Corporation","frontier-communications-corporation"
"Covera Ventures","hunt-ventures"
"El Dorado Ventures","el-dorado-ventures"
"Vesbridge Partners","vesbridge-partners"
"Shamrock Holdings","shamrock-holdings"
"Value Creation & Company","value-creation-company"
"Reof and Technofonds Flevoland","reof-and-technofonds-flevoland"
"Palo Alto Investors","palo-alto-investors"
"Shinhan Private Equity","shinhan-private-equity"
"Prokom Investments","prokom-investments"
"KVK","kvk"
"Alexandra Investment Management","alexandra-investment-management"
"HIG Ventures","hig-ventures"
"Avalon Ventures","avalon-ventures"
"Altira Group","altira-group"
"Susquehanna","susquehanna"
"Perella Weinberg Partners","perella-weinberg-partners"
"Robeco","robeco"
"Skypoint Capital","skypoint-capital"
"Contango Capital Partners","contango-capital-management"
"Advantage Capital Partners","advantage-capital-partners"
"Paladin Capital Group","paladin-capital-group"
"Masdar Clean Tech Fund","masdar-clean-tech-fund"
"Solucar Energia","solucar-energia"
"Massachusetts Institute of Technology","massachusetts-institute-of-technology-mit"
"Alliance Capital Ventures","alliance-capital-ventures"
"OnPoint Technologies","onpoint"
"Firelake Capital Management","firelake-capital-management"
"GLG Partners","glg-partners"
"Swiss RE","swiss-re"
"TLcom Capital Partners","tlcom-capital-partners"
"Compass Technology Partners","compass-technology-partners"
"Valor Equity Partners","valor-equity-partners"
"Lacuna LLC","lacuna-llc"
"Blackfin Technology","blackfin-technology"
"Adobe Ventures","adobe-ventures"
"Granite Ventures","granite-ventures"
"Navigation Capital","mellon-ventures"
"Lead Dog Ventures","lead-dog-ventures"
"Northzone","northzone-ventures"
"East Coast Angels","east-coast-angels"
"ORIX Venture Finance","orix-venture-finance"
"Pyramid Technology Ventures","pyramid-technology-fund"
"Forrest Binkley and Brown","forrest-binkley-and-brown"
"Vanguard Ventures","vanguard-ventures"
"Tredegar Investments","tredegar-investments"
"Times Mirror Company","times-mirror-company"
"Phillips Smith Specialty Group","phillips-smith-specialty-group"
"Dynafund Ventures","dynafund-ventures"
"Moore Capital","moore-capital"
"NetWorth Partners","networth-partners"
"Kegonsa Capital Partners","kegonsa-capital-partners"
"Clyde Street Investments","clyde-street-investments"
"Cedar Fund","cedar-fund"
"Northgate Capital","northgate-capital"
"Highway 12 Ventures","highway-12-ventures"
"Pond Ventures","pond-ventures"
"Nexus Venture Partners","nexus-venture-partners"
"Silicon Alley Venture Partners","silicon-alley-venture-partners"
